NOM_RBD,NOM_REG_RBD_A,NOM_COM_RBD,NOM_DEPROV_RBD,LATITUD,LONGITUD
LICEO POLITECNICO ARICA,AYP,ARICA,ARICA,"-18,4872","-70,295212"
PARVULARIO LAS ESPIGUITAS,AYP,ARICA,ARICA,"-18,46986198","-70,30275726"
ESC. PEDRO VICENTE GUTIERREZ TORRES,AYP,ARICA,ARICA,"-18,50358009","-70,26082611"
LICEO OCTAVIO PALMA PEREZ,AYP,ARICA,ARICA,"-18,474239","-70,308273"
JOVINA NARANJO FERNANDEZ,AYP,ARICA,ARICA,"-18,4769","-70,313454"
L. POLI. ANTONIO VARAS DE LA BARRA,AYP,ARICA,ARICA,"-18,476151","-70,288368"
COLEGIO INTEGRADO EDUARDO FREI MONTALVA,AYP,ARICA,ARICA,"-18,482491","-70,317581"
ESCUELA REPUBLICA DE ISRAEL,AYP,ARICA,ARICA,"-18,486691","-70,30452"
ESCUELA REPUBLICA DE FRANCIA,AYP,ARICA,ARICA,"-18,474369","-70,309036"
ESC. GRAL. PEDRO LAGOS MARCHANT,AYP,ARICA,ARICA,"-18,491011","-70,311577"
ESCUELA GRAL JOSE MIGUEL CARRERA,AYP,ARICA,ARICA,"-18,49193","-70,293968"
ESCUELA MANUEL RODRIGUEZ ERDOYZA,AYP,ARICA,ARICA,"-18,48134","-70,285347"
ESCUELA ROMULO J. PENA MATURANA,AYP,ARICA,ARICA,"-18,481239","-70,289757"
LICEO BICENTENARIO ARTISTICO DR. JUAN NOE CREVANI,AYP,ARICA,ARICA,"-18,47138596","-70,300354"
ESCUELA REGIMIENTO RANCAGUA,AYP,ARICA,ARICA,"-18,474831","-70,308777"
ESCUELA SUBTTE. LUIS CRUZ MARTINEZ,AYP,ARICA,ARICA,"-18,46727","-70,290939"
ESC. COMTE. JUAN JOSE SAN MARTIN,AYP,ARICA,ARICA,"-18,476681","-70,287788"
ESC. HUMBERTO VALENZUELA GARCIA,AYP,ARICA,ARICA,"-18,474661","-70,291908"
ESCUELA TUCAPEL,AYP,ARICA,ARICA,"-18,4797","-70,295502"
ESCUELA CARLOS GUIRAO MASSIF,AYP,ARICA,ARICA,"-18,48379188","-70,30008008"
ESCUELA GABRIELA MISTRAL,AYP,ARICA,ARICA,"-18,44829","-70,290649"
COLEGIO CENTENARIO DE ARICA,AYP,ARICA,ARICA,"-18,440001","-70,293381"
ESCUELA REPUBLICA DE ARGENTINA,AYP,ARICA,ARICA,"-18,48361","-70,300591"
ESCUELA ESMERALDA,AYP,ARICA,ARICA,"-18,483049","-70,308029"
ESCUELA RICARDO SILVA ARRIAGADA,AYP,ARICA,ARICA,"-18,485069","-70,294403"
ESCUELA AMERICA,AYP,ARICA,ARICA,"-18,47761","-70,28302"
ESCUELA DR. RICARDO OLEA GUERRA,AYP,ARICA,ARICA,"-18,48061752","-70,28401184"
ESCUELA DARIO SALAS DIAZ,AYP,ARICA,ARICA,"-18,50066","-70,254593"
LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,AYP,ARICA,ARICA,"-18,51926","-70,178741"
ESCUELA CARLOS CONDELL DE LA HAZA,AYP,ARICA,ARICA,"-18,41711","-70,225853"
ESCUELA GRAL. MANUEL BAQUEDANO,AYP,ARICA,ARICA,"-18,451719","-70,067574"
ESCUELA IGNACIO CARRERA PINTO,AYP,ARICA,ARICA,"-18,4956","-70,283524"
ESCUELA ESPAÑA,AYP,ARICA,ARICA,"-18,558821","-70,100723"
ESCUELA PAMPA ALGODONAL,AYP,ARICA,ARICA,"-18,578211","-69,965172"
ESCUELA VALLE DE CHACA,AYP,ARICA,ARICA,"-18,820641","-70,140381"
ESCUELA MOLINOS LLUTA,AYP,ARICA,ARICA,"-18,38175","-69,944893"
JARDIN INFANTIL CEPILLIN,AYP,ARICA,ARICA,"-18,439636","-70,290726"
JARDIN INFANTIL PEQUENILANDIA,AYP,ARICA,ARICA,,
COLEGIO ITALIANO SANTA ANA,AYP,ARICA,ARICA,"-18,483061","-70,314301"
JARDIN INFANTIL SAN ANDRES,AYP,ARICA,ARICA,,
J.  I. KURUMI,AYP,ARICA,ARICA,"-18,492444","-70,2944415"
JARDIN INFANTIL PADRE LUIS GALLARDO,AYP,ARICA,ARICA,"-18,475018","-70,29024"
